Nome;Email;Telefone;Idade;Estado;Faixa Etária;Válido
Bruno oliveira;juliana.araujo@gmail.com;(34) 94827-9678;48.0;SC;Adulto;True
Carlos silva;daniela.silva@gmail.com;(38) 92789-4863;53.0;PE;Adulto;True
Gustavo lima;fernanda.ribeiro@gmail.com;(33) 96119-1162;57.0;RJ;Adulto;True
Bruno souza;juliana.araujo@gmail.com;(20) 90653-4183;74.0;SP;Idoso;True
Helena silva;eduardo.araujo@gmail.com;(77) 98768-4505;39.0;RJ;Adulto;True
Gustavo oliveira;ana.silva@gmail.com;(33) 94499-2760;69.0;RS;Idoso;True
Ana lima;gustavo.almeida@gmail.com;(24) 97403-9410;39.0;CE;Adulto;True
Carlos almeida;daniela.araujo@gmail.com;(99) 97063-2168;46.0;PR;Adulto;True
Bruno silva;gustavo.costa@gmail.com;(21) 96328-8783;26.0;MG;Jovem;True
Ana lima;daniela.nascimento@gmail.com;(47) 91298-1620;76.0;MG;Idoso;True
Bruno nascimento;carlos.souza@gmail.com;(71) 93788-2305;32.0;SP;Adulto;True
Juliana araujo;fernanda.nascimento@gmail.com;(69) 98681-7033;19.0;PE;Jovem;True
Carlos souza;carlos.araujo@gmail.com;(77) 95286-6052;33.0;CE;Adulto;True
Igor souza;ana.nascimento@gmail.com;(51) 93987-2313;27.0;BA;Jovem;True
Fernanda pereira;igor.oliveira@gmail.com;(25) 96855-9131;19.0;CE;Jovem;True
Helena pereira;ana.lima@gmail.com;(24) 96159-7970;25.0;PE;Jovem;True
Gustavo lima;daniela.costa@gmail.com;(86) 99692-5912;36.0;SP;Adulto;True
Ana oliveira;juliana.souza@gmail.com;(95) 98862-9017;72.0;GO;Idoso;True
Bruno nascimento;helena.ribeiro@gmail.com;(64) 91144-2770;44.0;SC;Adulto;True
Bruno araujo;gustavo.araujo@gmail.com;(98) 96768-6449;69.0;BA;Idoso;True
Eduardo pereira;eduardo.costa@gmail.com;(31) 98624-6124;67.0;MG;Idoso;True
Carlos araujo;juliana.araujo@gmail.com;(94) 90080-4010;78.0;SP;Idoso;True
Carlos souza;eduardo.oliveira@gmail.com;(88) 95311-5238;55.0;PE;Adulto;True
Igor pereira;carlos.nascimento@gmail.com;(91) 98623-2460;24.0;RJ;Jovem;True
Bruno silva;fernanda.nascimento@gmail.com;(94) 98235-2672;70.0;CE;Idoso;True
Gustavo costa;ana.oliveira@gmail.com;(67) 90727-9087;73.0;PE;Idoso;True
Bruno pereira;juliana.souza@gmail.com;(57) 93922-6262;76.0;GO;Idoso;True
Helena oliveira;carlos.lima@gmail.com;(43) 97012-3709;43.0;MG;Adulto;True
Bruno silva;daniela.araujo@gmail.com;(61) 96340-1582;72.0;RJ;Idoso;True
Juliana araujo;bruno.oliveira@gmail.com;(18) 92628-5029;45.0;RS;Adulto;True
Ana souza;gustavo.nascimento@gmail.com;(13) 97908-8052;74.0;RS;Idoso;True
Daniela nascimento;juliana.almeida@gmail.com;(15) 99700-5924;70.0;PR;Idoso;True
Fernanda almeida;juliana.silva@gmail.com;(80) 95889-8589;46.0;RS;Adulto;True
Carlos oliveira;bruno.araujo@gmail.com;(98) 90816-7253;25.0;SP;Jovem;True
Daniela araujo;daniela.araujo@gmail.com;(41) 98140-6438;65.0;PE;Idoso;True
Fernanda costa;bruno.silva@gmail.com;(83) 90798-2653;35.0;PE;Adulto;True
Helena nascimento;fernanda.souza@gmail.com;(94) 92963-7372;74.0;SP;Idoso;True
Carlos araujo;fernanda.nascimento@gmail.com;(23) 92018-1472;28.0;RJ;Jovem;True
Bruno costa;fernanda.nascimento@gmail.com;(49) 99496-4489;43.0;PE;Adulto;True
Gustavo almeida;daniela.costa@gmail.com;(63) 96159-1882;52.0;CE;Adulto;True
Fernanda oliveira;daniela.araujo@gmail.com;(51) 98076-8366;48.0;GO;Adulto;True
Juliana oliveira;fernanda.ribeiro@gmail.com;(33) 93637-4161;79.0;BA;Idoso;True
Carlos souza;carlos.nascimento@gmail.com;(78) 91081-3947;43.0;PE;Adulto;True
Fernanda almeida;daniela.almeida@gmail.com;(47) 99934-1730;49.0;PR;Adulto;True
Eduardo souza;juliana.ribeiro@gmail.com;(94) 94017-9441;67.0;RS;Idoso;True
Ana silva;gustavo.ribeiro@gmail.com;(41) 99708-6186;55.0;PE;Adulto;True
Gustavo almeida;ana.costa@gmail.com;(72) 92915-7021;60.0;BA;Idoso;True
Carlos almeida;bruno.araujo@gmail.com;(87) 92223-7219;25.0;SP;Jovem;True
Fernanda oliveira;ana.costa@gmail.com;(69) 96175-2502;29.0;SP;Idoso;True
Bruno nascimento;daniela.nascimento@gmail.com;(39) 96748-9101;23.0;SC;Jovem;True
Eduardo lima;igor.araujo@gmail.com;(36) 98137-4242;31.0;SC;Adulto;True
Helena oliveira;gustavo.araujo@gmail.com;(12) 91183-3171;80.0;RS;Idoso;True
Carlos lima;eduardo.araujo@gmail.com;(90) 92433-2274;42.0;RS;Adulto;True
Gustavo oliveira;carlos.almeida@gmail.com;(59) 93858-9701;72.0;PR;Idoso;True
Fernanda ribeiro;bruno.almeida@gmail.com;(26) 97396-6055;33.0;BA;Adulto;True
Helena silva;ana.ribeiro@gmail.com;(40) 93457-4206;58.0;PE;Adulto;True
Gustavo silva;helena.silva@gmail.com;(30) 93201-7973;59.0;SC;Adulto;True
Gustavo souza;igor.oliveira@gmail.com;(61) 98943-2682;60.0;SP;Idoso;True
Carlos araujo;fernanda.lima@gmail.com;(16) 97879-4080;49.0;MG;Adulto;True
Carlos araujo;juliana.lima@gmail.com;(19) 93550-8113;49.0;RS;Adulto;True
Juliana araujo;bruno.araujo@gmail.com;(24) 97867-2524;55.0;SP;Adulto;True
Bruno souza;daniela.oliveira@gmail.com;(71) 92623-3843;29.0;MG;Idoso;True
Eduardo ribeiro;juliana.almeida@gmail.com;(47) 91613-9965;61.0;RS;Idoso;True
Ana oliveira;carlos.lima@gmail.com;(38) 98482-1222;80.0;PR;Idoso;True
Fernanda pereira;eduardo.araujo@gmail.com;(85) 96978-6392;37.0;CE;Adulto;True
Eduardo lima;helena.lima@gmail.com;(19) 95463-8334;66.0;GO;Idoso;True
Carlos lima;eduardo.pereira@gmail.com;(65) 97735-1804;28.0;RJ;Jovem;True
Eduardo ribeiro;bruno.souza@gmail.com;(79) 98764-6404;45.0;MG;Adulto;True
Helena nascimento;gustavo.nascimento@gmail.com;(88) 94897-1988;61.0;RJ;Idoso;True
Bruno lima;ana.almeida@gmail.com;(81) 95569-2465;26.0;GO;Jovem;True
Helena nascimento;fernanda.pereira@gmail.com;(91) 95786-8601;73.0;BA;Idoso;True
Fernanda almeida;ana.costa@gmail.com;(28) 92758-5438;35.0;GO;Adulto;True
Fernanda costa;bruno.almeida@gmail.com;(47) 97625-7430;40.0;SP;Adulto;True
Ana ribeiro;ana.silva@gmail.com;(82) 92629-3467;33.0;MG;Adulto;True
Juliana pereira;juliana.almeida@gmail.com;(31) 91946-1090;67.0;GO;Idoso;True
Juliana lima;eduardo.lima@gmail.com;(84) 97253-8998;36.0;PR;Adulto;True
Fernanda lima;daniela.lima@gmail.com;(50) 92755-5917;30.0;SC;Idoso;True
Gustavo ribeiro;eduardo.lima@gmail.com;(23) 94944-9867;65.0;PE;Idoso;True
Juliana pereira;carlos.ribeiro@gmail.com;(49) 95656-1408;56.0;PE;Adulto;True
Eduardo oliveira;fernanda.souza@gmail.com;(22) 99747-9081;64.0;BA;Idoso;True
Eduardo ribeiro;juliana.nascimento@gmail.com;(48) 90875-7672;50.0;SP;Adulto;True
Eduardo araujo;gustavo.silva@gmail.com;(20) 91149-8093;71.0;RS;Idoso;True
Bruno ribeiro;gustavo.lima@gmail.com;(12) 92563-1772;62.0;RS;Idoso;True
Fernanda oliveira;igor.lima@gmail.com;(18) 98598-9041;57.0;MG;Adulto;True
Eduardo pereira;igor.pereira@gmail.com;(36) 97256-5614;49.0;PE;Adulto;True
Gustavo silva;bruno.ribeiro@gmail.com;(49) 99789-3160;30.0;RJ;Idoso;True
Igor pereira;daniela.ribeiro@gmail.com;(72) 90929-7817;71.0;RJ;Idoso;True
Daniela pereira;daniela.costa@gmail.com;(26) 95153-8292;58.0;RJ;Adulto;True
Ana lima;carlos.souza@gmail.com;(98) 95959-8027;79.0;SC;Idoso;True
Eduardo almeida;daniela.araujo@gmail.com;(60) 93575-8882;36.0;BA;Adulto;True
Igor araujo;igor.ribeiro@gmail.com;(74) 90688-2474;60.0;SC;Idoso;True
Gustavo oliveira;gustavo.oliveira@gmail.com;(73) 95844-8819;48.0;RJ;Adulto;True
Fernanda silva;ana.silva@gmail.com;(27) 94648-5700;66.0;MG;Idoso;True
Gustavo souza;ana.silva@gmail.com;(79) 90810-9158;47.0;BA;Adulto;True
Carlos ribeiro;carlos.pereira@gmail.com;(57) 91839-4432;31.0;MG;Adulto;True
Daniela silva;ana.silva@gmail.com;(35) 98803-4273;46.0;RJ;Adulto;True
Bruno souza;juliana.lima@gmail.com;(95) 96245-7218;73.0;GO;Idoso;True
Ana silva;carlos.silva@gmail.com;(26) 99906-2822;38.0;PR;Adulto;True
Carlos oliveira;daniela.lima@gmail.com;(98) 96179-3921;54.0;SC;Adulto;True
Helena lima;gustavo.araujo@gmail.com;(89) 93278-7974;18.0;SC;Jovem;True
Juliana almeida;ana.nascimento@gmail.com;(53) 95372-5274;32.0;MG;Adulto;True
Carlos araujo;carlos.lima@gmail.com;(40) 98294-7976;52.0;GO;Adulto;True
Carlos almeida;igor.oliveira@gmail.com;(10) 95538-1074;73.0;PE;Idoso;True
Helena souza;carlos.pereira@gmail.com;(36) 90686-2013;74.0;SP;Idoso;True
Gustavo almeida;igor.almeida@gmail.com;(26) 99267-5098;39.0;GO;Adulto;True
Ana souza;juliana.lima@gmail.com;(96) 98664-6140;51.0;RS;Adulto;True
Juliana araujo;ana.nascimento@gmail.com;(61) 92924-9504;59.0;RS;Adulto;True
Daniela costa;fernanda.nascimento@gmail.com;(36) 98926-8518;68.0;MG;Idoso;True
Igor nascimento;bruno.almeida@gmail.com;(72) 90378-2932;22.0;SP;Jovem;True
Gustavo oliveira;daniela.ribeiro@gmail.com;(66) 92788-9384;71.0;PR;Idoso;True
Helena almeida;ana.lima@gmail.com;(81) 97612-5613;28.0;RJ;Jovem;True
Bruno ribeiro;daniela.silva@gmail.com;(79) 96740-9263;47.0;PE;Adulto;True
Helena costa;bruno.silva@gmail.com;(39) 96541-5874;41.0;PE;Adulto;True
Fernanda lima;gustavo.ribeiro@gmail.com;(91) 98307-1477;53.0;RJ;Adulto;True
Eduardo araujo;gustavo.pereira@gmail.com;(74) 93566-8688;35.0;MG;Adulto;True
Igor oliveira;daniela.costa@gmail.com;(97) 97086-3982;32.0;RJ;Adulto;True
Helena silva;igor.ribeiro@gmail.com;(57) 92454-5335;70.0;RS;Idoso;True
Gustavo araujo;helena.silva@gmail.com;(33) 95979-5644;75.0;MG;Idoso;True
Eduardo almeida;juliana.almeida@gmail.com;(41) 95997-4861;66.0;GO;Idoso;True
Gustavo araujo;helena.nascimento@gmail.com;(16) 90057-2216;53.0;SP;Adulto;True
Igor costa;eduardo.almeida@gmail.com;(71) 97047-4095;40.0;RS;Adulto;True
Igor pereira;helena.souza@gmail.com;(57) 91956-7438;49.0;GO;Adulto;True
Juliana lima;ana.pereira@gmail.com;(91) 97745-5422;19.0;SC;Jovem;True
Juliana araujo;eduardo.oliveira@gmail.com;(97) 97477-6465;53.0;RS;Adulto;True
Ana nascimento;daniela.lima@gmail.com;(51) 92989-4053;68.0;PE;Idoso;True
Ana silva;igor.oliveira@gmail.com;(63) 90949-1171;51.0;PE;Adulto;True
Ana lima;juliana.costa@gmail.com;(71) 91415-5411;78.0;SC;Idoso;True
Igor lima;juliana.almeida@gmail.com;(63) 91742-2588;61.0;GO;Idoso;True
Eduardo nascimento;ana.costa@gmail.com;(55) 91564-2443;59.0;CE;Adulto;True
Juliana lima;bruno.ribeiro@gmail.com;(54) 95870-3560;69.0;PR;Idoso;True
Gustavo souza;ana.pereira@gmail.com;(88) 94397-6325;62.0;SP;Idoso;True
Daniela costa;helena.nascimento@gmail.com;(87) 93526-2320;52.0;PE;Adulto;True
Helena nascimento;eduardo.silva@gmail.com;(10) 97584-6061;42.0;SP;Adulto;True
Daniela araujo;bruno.pereira@gmail.com;(70) 91876-6072;66.0;BA;Idoso;True
Igor lima;bruno.ribeiro@gmail.com;(79) 99838-9842;49.0;GO;Adulto;True
Helena silva;bruno.araujo@gmail.com;(42) 94182-6176;60.0;BA;Idoso;True
Bruno pereira;carlos.souza@gmail.com;(32) 90179-1002;65.0;MG;Idoso;True
Fernanda silva;igor.silva@gmail.com;(66) 92712-3623;73.0;CE;Idoso;True
Daniela lima;gustavo.souza@gmail.com;(73) 93290-3344;44.0;RJ;Adulto;True
Ana ribeiro;helena.oliveira@gmail.com;(34) 97448-6216;65.0;BA;Idoso;True
Ana araujo;juliana.araujo@gmail.com;(79) 95139-2872;40.0;RJ;Adulto;True
Bruno araujo;gustavo.lima@gmail.com;(54) 91114-5843;49.0;MG;Adulto;True
Igor lima;fernanda.almeida@gmail.com;(41) 92145-7115;29.0;SP;Idoso;True
Juliana lima;gustavo.almeida@gmail.com;(19) 91263-4759;37.0;GO;Adulto;True
Helena nascimento;juliana.costa@gmail.com;(54) 90231-5640;70.0;PE;Idoso;True
Bruno lima;fernanda.silva@gmail.com;(49) 94770-2581;64.0;BA;Idoso;True
Fernanda costa;gustavo.souza@gmail.com;(16) 91022-4616;39.0;MG;Adulto;True
Fernanda araujo;eduardo.pereira@gmail.com;(63) 99723-1105;72.0;PR;Idoso;True
Carlos silva;eduardo.nascimento@gmail.com;(81) 97285-8568;42.0;PR;Adulto;True
Carlos araujo;bruno.ribeiro@gmail.com;(28) 97227-2067;45.0;MG;Adulto;True
Ana araujo;daniela.lima@gmail.com;(50) 94253-8579;49.0;GO;Adulto;True
Juliana lima;juliana.ribeiro@gmail.com;(41) 99869-4925;50.0;RS;Adulto;True
Fernanda nascimento;fernanda.souza@gmail.com;(64) 96192-2513;29.0;SC;Idoso;True
Igor oliveira;helena.costa@gmail.com;(18) 96156-2500;38.0;MG;Adulto;True
Helena oliveira;bruno.oliveira@gmail.com;(35) 92433-9879;27.0;SP;Jovem;True
Carlos araujo;daniela.araujo@gmail.com;(34) 97010-7306;67.0;PR;Idoso;True
Juliana oliveira;fernanda.araujo@gmail.com;(48) 95842-1283;53.0;MG;Adulto;True
Ana pereira;bruno.costa@gmail.com;(17) 93722-8600;69.0;GO;Idoso;True
Helena pereira;fernanda.lima@gmail.com;(35) 96304-2225;50.0;MG;Adulto;True
Fernanda araujo;ana.almeida@gmail.com;(49) 96061-3259;46.0;PR;Adulto;True
Daniela nascimento;bruno.costa@gmail.com;(34) 98114-7312;80.0;PE;Idoso;True
Carlos almeida;bruno.almeida@gmail.com;(89) 94188-3052;62.0;PE;Idoso;True
Fernanda souza;gustavo.silva@gmail.com;(36) 96888-8690;19.0;PE;Jovem;True
Helena almeida;carlos.araujo@gmail.com;(89) 90886-9382;24.0;SC;Jovem;True
Carlos nascimento;gustavo.pereira@gmail.com;(75) 92510-7668;47.0;GO;Adulto;True
Ana pereira;fernanda.pereira@gmail.com;(69) 96338-9861;29.0;GO;Idoso;True
Igor nascimento;eduardo.silva@gmail.com;(36) 96580-4116;18.0;MG;Jovem;True
Juliana souza;igor.araujo@gmail.com;(60) 95850-9347;78.0;CE;Idoso;True
Carlos almeida;carlos.almeida@gmail.com;(96) 98598-2747;57.0;PR;Adulto;True
Carlos araujo;eduardo.silva@gmail.com;(54) 97289-1953;69.0;RS;Idoso;True
Igor silva;fernanda.pereira@gmail.com;(19) 91174-8765;21.0;GO;Jovem;True
Ana ribeiro;carlos.almeida@gmail.com;(65) 99804-1194;74.0;SC;Idoso;True
Igor ribeiro;bruno.ribeiro@gmail.com;(53) 95525-1486;75.0;CE;Idoso;True
Juliana costa;carlos.silva@gmail.com;(96) 93268-4384;25.0;SP;Jovem;True
Juliana lima;eduardo.oliveira@gmail.com;(47) 93724-2461;67.0;SC;Idoso;True
Gustavo nascimento;fernanda.souza@gmail.com;(89) 96920-4671;68.0;RS;Idoso;True
Carlos costa;igor.ribeiro@gmail.com;(12) 92380-7409;44.0;PR;Adulto;True
Eduardo pereira;helena.oliveira@gmail.com;(98) 99831-9846;77.0;RS;Idoso;True
Ana oliveira;helena.ribeiro@gmail.com;(99) 90331-5441;51.0;BA;Adulto;True
Bruno lima;daniela.nascimento@gmail.com;(42) 95508-9855;20.0;CE;Jovem;True
Juliana pereira;ana.ribeiro@gmail.com;(14) 96528-4970;41.0;CE;Adulto;True
Igor araujo;juliana.nascimento@gmail.com;(10) 99779-8967;66.0;CE;Idoso;True
Gustavo nascimento;bruno.oliveira@gmail.com;(82) 97977-9741;62.0;RJ;Idoso;True
Juliana lima;carlos.ribeiro@gmail.com;(34) 91339-6477;69.0;GO;Idoso;True
Juliana almeida;gustavo.costa@gmail.com;(71) 94684-5132;45.0;SP;Adulto;True
Daniela costa;carlos.almeida@gmail.com;(62) 93166-3917;24.0;RJ;Jovem;True
Helena costa;igor.silva@gmail.com;(63) 95185-9055;46.0;GO;Adulto;True
Daniela pereira;fernanda.lima@gmail.com;(16) 95406-7295;46.0;GO;Adulto;True
Igor silva;daniela.pereira@gmail.com;(56) 95351-7000;66.0;PR;Idoso;True
Juliana costa;carlos.pereira@gmail.com;(34) 92871-1120;62.0;PE;Idoso;True
Helena nascimento;ana.pereira@gmail.com;(58) 94491-2615;51.0;MG;Adulto;True
Ana silva;daniela.oliveira@gmail.com;(91) 92224-9851;75.0;CE;Idoso;True
Eduardo almeida;igor.pereira@gmail.com;(71) 98231-5868;69.0;SP;Idoso;True
Carlos almeida;helena.lima@gmail.com;(73) 93120-8100;46.0;GO;Adulto;True
Carlos silva;bruno.araujo@gmail.com;(67) 92139-6262;79.0;MG;Idoso;True
Helena costa;bruno.pereira@gmail.com;(35) 90267-7488;22.0;GO;Jovem;True
Fernanda nascimento;fernanda.pereira@gmail.com;(65) 91897-3997;49.0;PR;Adulto;True
Igor almeida;bruno.almeida@gmail.com;(92) 99991-9903;66.0;PR;Idoso;True
Fernanda ribeiro;fernanda.oliveira@gmail.com;(82) 98408-2560;71.0;PR;Idoso;True
Juliana araujo;eduardo.silva@gmail.com;(41) 93650-5433;23.0;GO;Jovem;True
Gustavo souza;daniela.oliveira@gmail.com;(55) 93691-4144;18.0;CE;Jovem;True
Bruno oliveira;bruno.souza@gmail.com;(36) 90342-3266;45.0;PE;Adulto;True
Eduardo lima;ana.costa@gmail.com;(32) 90818-9247;37.0;RS;Adulto;True
Carlos pereira;helena.araujo@gmail.com;(42) 94860-5928;28.0;SP;Jovem;True
Bruno souza;fernanda.lima@gmail.com;(77) 93453-2185;29.0;RS;Idoso;True
Eduardo araujo;igor.souza@gmail.com;(68) 94848-3544;20.0;CE;Jovem;True
Ana silva;daniela.pereira@gmail.com;(18) 90219-6511;56.0;BA;Adulto;True
Helena almeida;juliana.araujo@gmail.com;(23) 91969-9256;63.0;CE;Idoso;True
Juliana ribeiro;igor.lima@gmail.com;(47) 93167-4317;47.0;PE;Adulto;True
Eduardo costa;ana.nascimento@gmail.com;(47) 90208-8511;30.0;RJ;Idoso;True
Helena lima;igor.pereira@gmail.com;(59) 97258-4451;26.0;CE;Jovem;True
Eduardo almeida;eduardo.ribeiro@gmail.com;(50) 97586-7586;76.0;BA;Idoso;True
Helena almeida;juliana.oliveira@gmail.com;(53) 98335-7423;36.0;PE;Adulto;True
Juliana pereira;fernanda.souza@gmail.com;(88) 93009-5598;30.0;PR;Idoso;True
Ana nascimento;juliana.ribeiro@gmail.com;(92) 96662-3528;53.0;PE;Adulto;True
Fernanda pereira;carlos.nascimento@gmail.com;(46) 93290-7931;79.0;MG;Idoso;True
Bruno ribeiro;carlos.lima@gmail.com;(17) 91896-1871;70.0;RJ;Idoso;True
Daniela costa;ana.silva@gmail.com;(58) 93321-3768;34.0;MG;Adulto;True
Bruno lima;carlos.ribeiro@gmail.com;(62) 96345-6515;63.0;PR;Idoso;True
Carlos silva;fernanda.ribeiro@gmail.com;(95) 93199-7775;78.0;PE;Idoso;True
Ana lima;juliana.pereira@gmail.com;(32) 94369-5301;24.0;CE;Jovem;True
Carlos silva;fernanda.ribeiro@gmail.com;(80) 99910-6964;54.0;CE;Adulto;True
Daniela costa;gustavo.oliveira@gmail.com;(77) 96306-4488;59.0;RJ;Adulto;True
Bruno ribeiro;helena.oliveira@gmail.com;(54) 93175-7870;38.0;GO;Adulto;True
Helena araujo;helena.ribeiro@gmail.com;(93) 97839-5293;31.0;SP;Adulto;True
Ana costa;eduardo.souza@gmail.com;(98) 93767-6543;34.0;RS;Adulto;True
Fernanda nascimento;fernanda.lima@gmail.com;(85) 99837-6281;68.0;CE;Idoso;True
Daniela silva;daniela.almeida@gmail.com;(66) 98480-3792;52.0;GO;Adulto;True
Ana almeida;igor.costa@gmail.com;(76) 91372-7737;77.0;RS;Idoso;True
Bruno nascimento;fernanda.souza@gmail.com;(64) 92515-3903;40.0;MG;Adulto;True
Helena nascimento;bruno.almeida@gmail.com;(51) 93821-2952;18.0;PE;Jovem;True
Bruno souza;daniela.nascimento@gmail.com;(96) 99456-7318;41.0;RJ;Adulto;True
Daniela souza;carlos.costa@gmail.com;(93) 98074-2163;31.0;GO;Adulto;True
Juliana araujo;juliana.silva@gmail.com;(20) 93974-3680;78.0;GO;Idoso;True
Eduardo silva;eduardo.almeida@gmail.com;(33) 93111-1352;42.0;RS;Adulto;True
Juliana souza;igor.ribeiro@gmail.com;(46) 97228-4748;47.0;SP;Adulto;True
Helena souza;ana.silva@gmail.com;(15) 93239-6613;78.0;CE;Idoso;True
Gustavo costa;fernanda.costa@gmail.com;(74) 99997-6626;72.0;RJ;Idoso;True
Ana souza;gustavo.lima@gmail.com;(94) 97058-9608;18.0;CE;Jovem;True
Daniela nascimento;juliana.araujo@gmail.com;(18) 95119-5036;27.0;SP;Jovem;True
Bruno souza;ana.silva@gmail.com;(73) 99017-6671;31.0;PR;Adulto;True
Fernanda costa;gustavo.lima@gmail.com;(68) 99674-5325;56.0;PR;Adulto;True
Gustavo costa;daniela.ribeiro@gmail.com;(64) 90811-9776;36.0;RJ;Adulto;True
Igor lima;fernanda.nascimento@gmail.com;(67) 96941-1146;24.0;RJ;Jovem;True
Fernanda almeida;juliana.araujo@gmail.com;(42) 92971-8849;55.0;SP;Adulto;True
Ana lima;eduardo.costa@gmail.com;(62) 93789-5125;32.0;BA;Adulto;True
Fernanda silva;igor.ribeiro@gmail.com;(15) 94221-8275;63.0;PR;Idoso;True
Igor nascimento;daniela.costa@gmail.com;(99) 95079-5102;59.0;BA;Adulto;True
Fernanda almeida;bruno.nascimento@gmail.com;(95) 91939-1490;39.0;RJ;Adulto;True
Juliana oliveira;gustavo.pereira@gmail.com;(98) 92599-8878;45.0;MG;Adulto;True
Gustavo oliveira;carlos.souza@gmail.com;(72) 95171-9853;42.0;CE;Adulto;True
Helena ribeiro;juliana.silva@gmail.com;(97) 94595-5398;80.0;RS;Idoso;True
Igor araujo;juliana.araujo@gmail.com;(92) 90744-9402;65.0;BA;Idoso;True
Igor pereira;carlos.nascimento@gmail.com;(38) 95453-9883;56.0;SC;Adulto;True
Daniela souza;juliana.souza@gmail.com;(69) 94621-4478;79.0;BA;Idoso;True
Gustavo ribeiro;carlos.ribeiro@gmail.com;(32) 98252-9116;62.0;PE;Idoso;True
Ana lima;ana.nascimento@gmail.com;(92) 93482-3131;45.0;SP;Adulto;True
Juliana almeida;juliana.lima@gmail.com;(34) 92837-7475;62.0;SC;Idoso;True
Fernanda oliveira;daniela.araujo@gmail.com;(27) 97660-4827;56.0;BA;Adulto;True
Fernanda souza;bruno.lima@gmail.com;(31) 90206-6130;42.0;RJ;Adulto;True
Juliana oliveira;daniela.silva@gmail.com;(14) 96944-7859;27.0;PE;Jovem;True
Gustavo lima;bruno.ribeiro@gmail.com;(19) 99114-6741;53.0;RJ;Adulto;True
Ana pereira;ana.pereira@gmail.com;(18) 99359-5774;58.0;RJ;Adulto;True
Gustavo oliveira;ana.araujo@gmail.com;(14) 90902-4173;61.0;MG;Idoso;True
Igor lima;bruno.almeida@gmail.com;(45) 97728-1067;53.0;CE;Adulto;True
Daniela oliveira;carlos.ribeiro@gmail.com;(28) 96451-1294;19.0;SP;Jovem;True
Fernanda ribeiro;carlos.nascimento@gmail.com;(62) 92570-3110;48.0;GO;Adulto;True
Juliana oliveira;fernanda.silva@gmail.com;(85) 98200-7455;29.0;GO;Idoso;True
Juliana costa;carlos.nascimento@gmail.com;(35) 91960-7400;41.0;SP;Adulto;True
Igor pereira;eduardo.souza@gmail.com;(46) 97317-9601;43.0;PR;Adulto;True
Eduardo almeida;ana.pereira@gmail.com;(24) 93300-7897;76.0;CE;Idoso;True
Juliana lima;eduardo.lima@gmail.com;(70) 99027-8522;51.0;BA;Adulto;True
Juliana araujo;daniela.costa@gmail.com;(63) 98122-6837;39.0;CE;Adulto;True
Juliana pereira;juliana.ribeiro@gmail.com;(98) 96270-1168;55.0;PE;Adulto;True
Daniela silva;fernanda.nascimento@gmail.com;(50) 94977-6600;67.0;CE;Idoso;True
Helena oliveira;bruno.oliveira@gmail.com;(39) 97635-4516;38.0;MG;Adulto;True
Carlos ribeiro;carlos.costa@gmail.com;(70) 91972-3677;80.0;PE;Idoso;True
Helena almeida;daniela.ribeiro@gmail.com;(58) 99692-6152;31.0;SC;Adulto;True
Ana lima;helena.costa@gmail.com;(49) 90837-3202;23.0;SC;Jovem;True
Helena costa;ana.pereira@gmail.com;(81) 92134-8019;70.0;PE;Idoso;True
Ana araujo;carlos.lima@gmail.com;(83) 99826-4992;27.0;RJ;Jovem;True
Juliana araujo;eduardo.silva@gmail.com;(98) 95375-2694;51.0;GO;Adulto;True
Igor ribeiro;eduardo.silva@gmail.com;(86) 91622-8953;67.0;RJ;Idoso;True
Gustavo nascimento;eduardo.nascimento@gmail.com;(81) 91574-8556;67.0;RS;Idoso;True
Bruno souza;eduardo.oliveira@gmail.com;(85) 95000-2349;78.0;PR;Idoso;True
Igor ribeiro;carlos.ribeiro@gmail.com;(75) 90074-3894;61.0;BA;Idoso;True
Igor araujo;juliana.araujo@gmail.com;(86) 92517-1893;75.0;SP;Idoso;True
Daniela nascimento;igor.lima@gmail.com;(48) 91757-3712;75.0;PE;Idoso;True
Eduardo araujo;juliana.pereira@gmail.com;(53) 90976-2242;19.0;MG;Jovem;True
Carlos silva;igor.pereira@gmail.com;(69) 90680-4196;75.0;PE;Idoso;True
Carlos silva;carlos.oliveira@gmail.com;(66) 99656-2551;33.0;BA;Adulto;True
Eduardo araujo;carlos.araujo@gmail.com;(81) 93725-5847;67.0;RS;Idoso;True
Fernanda silva;bruno.pereira@gmail.com;(89) 90916-6799;64.0;CE;Idoso;True
Helena oliveira;helena.oliveira@gmail.com;(74) 99054-2197;25.0;PE;Jovem;True
Bruno lima;ana.araujo@gmail.com;(57) 95738-8376;23.0;RJ;Jovem;True
Daniela pereira;gustavo.lima@gmail.com;(65) 92159-8567;62.0;MG;Idoso;True
Helena araujo;carlos.silva@gmail.com;(74) 91073-6273;73.0;SC;Idoso;True
Helena nascimento;juliana.lima@gmail.com;(66) 94875-9599;19.0;PE;Jovem;True
Ana costa;ana.almeida@gmail.com;(70) 97436-2458;64.0;PR;Idoso;True
Juliana araujo;carlos.costa@gmail.com;(16) 99930-1087;46.0;SP;Adulto;True
Helena silva;gustavo.souza@gmail.com;(82) 90430-3991;26.0;MG;Jovem;True
Fernanda nascimento;gustavo.souza@gmail.com;(27) 93126-9165;67.0;SC;Idoso;True
Igor silva;juliana.oliveira@gmail.com;(66) 93753-1527;55.0;CE;Adulto;True
